item,workerId,freq,category,stimID,boundary,is_foot,mora_count,initial_bimora,item_even,participant_boundary,in_inference,er_inference_boundary,boundary_cv,prior_long_vowel,vowel_boundary,ungrammatical,bigrm,score,mora_num,syl_num
6,p106,1645.489381,polymoraic,18,1,FALSE,1,FALSE,TRUE,TRUE,FALSE,no,vc,FALSE,FALSE,FALSE,ah,2.901784801,4,4
6,p106,1645.489381,polymoraic,18,2,FALSE,1,FALSE,TRUE,FALSE,FALSE,no,cv,FALSE,FALSE,TRUE,ha,1.521523138,4,4
6,p106,1645.489381,polymoraic,18,3,TRUE,2,TRUE,TRUE,TRUE,FALSE,disagree,vc,FALSE,FALSE,FALSE,ak,1.858388235,4,4
6,p106,1645.489381,polymoraic,18,4,TRUE,2,TRUE,TRUE,FALSE,FALSE,no,cv,FALSE,FALSE,TRUE,ko,2.002730782,4,4
6,p106,1645.489381,polymoraic,18,5,FALSE,3,FALSE,TRUE,FALSE,FALSE,no,vv,FALSE,TRUE,FALSE,oa,2.734131354,4,4
6,p41,1645.489381,polymoraic,225,1,FALSE,1,FALSE,TRUE,FALSE,FALSE,no,vc,FALSE,FALSE,FALSE,ah,2.901784801,4,4
6,p41,1645.489381,polymoraic,225,2,FALSE,1,FALSE,TRUE,FALSE,FALSE,no,cv,FALSE,FALSE,TRUE,ha,1.521523138,4,4
6,p41,1645.489381,polymoraic,225,3,TRUE,2,TRUE,TRUE,TRUE,FALSE,disagree,vc,FALSE,FALSE,FALSE,ak,1.858388235,4,4
6,p41,1645.489381,polymoraic,225,4,TRUE,2,TRUE,TRUE,FALSE,FALSE,no,cv,FALSE,FALSE,TRUE,ko,2.002730782,4,4
6,p41,1645.489381,polymoraic,225,5,FALSE,3,FALSE,TRUE,FALSE,FALSE,no,vv,FALSE,TRUE,FALSE,oa,2.734131354,4,4
6,p66,1645.489381,polymoraic,30,1,FALSE,1,FALSE,TRUE,FALSE,FALSE,no,vc,FALSE,FALSE,FALSE,ah,2.901784801,4,4
6,p66,1645.489381,polymoraic,30,2,FALSE,1,FALSE,TRUE,FALSE,FALSE,no,cv,FALSE,FALSE,TRUE,ha,1.521523138,4,4
6,p66,1645.489381,polymoraic,30,3,TRUE,2,TRUE,TRUE,TRUE,FALSE,disagree,vc,FALSE,FALSE,FALSE,ak,1.858388235,4,4
6,p66,1645.489381,polymoraic,30,4,TRUE,2,TRUE,TRUE,FALSE,FALSE,no,cv,FALSE,FALSE,TRUE,ko,2.002730782,4,4
6,p66,1645.489381,polymoraic,30,5,FALSE,3,FALSE,TRUE,FALSE,FALSE,no,vv,FALSE,TRUE,FALSE,oa,2.734131354,4,4
6,p57,1645.489381,polymoraic,57,1,FALSE,1,FALSE,TRUE,FALSE,FALSE,no,vc,FALSE,FALSE,FALSE,ah,2.901784801,4,4
6,p57,1645.489381,polymoraic,57,2,FALSE,1,FALSE,TRUE,FALSE,FALSE,no,cv,FALSE,FALSE,TRUE,ha,1.521523138,4,4
6,p57,1645.489381,polymoraic,57,3,TRUE,2,TRUE,TRUE,TRUE,FALSE,disagree,vc,FALSE,FALSE,FALSE,ak,1.858388235,4,4
6,p57,1645.489381,polymoraic,57,4,TRUE,2,TRUE,TRUE,FALSE,FALSE,no,cv,FALSE,FALSE,TRUE,ko,2.002730782,4,4
6,p57,1645.489381,polymoraic,57,5,FALSE,3,FALSE,TRUE,FALSE,FALSE,no,vv,FALSE,TRUE,FALSE,oa,2.734131354,4,4
8,p84,16.511229,polymoraic,7,1,TRUE,2,TRUE,TRUE,TRUE,FALSE,disagree,Vc,TRUE,FALSE,FALSE,Ah,2.263049724,4,3
8,p84,16.511229,polymoraic,7,2,TRUE,2,TRUE,TRUE,FALSE,FALSE,no,cv,FALSE,FALSE,TRUE,ha,1.521523138,4,3
8,p84,16.511229,polymoraic,7,3,FALSE,3,FALSE,TRUE,FALSE,FALSE,no,vv,FALSE,TRUE,FALSE,au,2.791771608,4,3
8,p74,16.511229,polymoraic,233,1,TRUE,2,TRUE,TRUE,TRUE,FALSE,disagree,Vc,TRUE,FALSE,FALSE,Ah,2.263049724,4,3
8,p74,16.511229,polymoraic,233,2,TRUE,2,TRUE,TRUE,FALSE,FALSE,no,cv,FALSE,FALSE,TRUE,ha,1.521523138,4,3
8,p74,16.511229,polymoraic,233,3,FALSE,3,FALSE,TRUE,FALSE,FALSE,no,vv,FALSE,TRUE,FALSE,au,2.791771608,4,3
8,p54,16.511229,polymoraic,180,1,TRUE,2,TRUE,TRUE,FALSE,FALSE,disagree,Vc,TRUE,FALSE,FALSE,Ah,2.263049724,4,3
8,p54,16.511229,polymoraic,180,2,TRUE,2,TRUE,TRUE,FALSE,FALSE,no,cv,FALSE,FALSE,TRUE,ha,1.521523138,4,3
8,p54,16.511229,polymoraic,180,3,FALSE,3,FALSE,TRUE,FALSE,FALSE,no,vv,FALSE,TRUE,FALSE,au,2.791771608,4,3
8,p100,16.511229,polymoraic,151,1,TRUE,2,TRUE,TRUE,FALSE,FALSE,disagree,Vc,TRUE,FALSE,FALSE,Ah,2.263049724,4,3
8,p100,16.511229,polymoraic,151,2,TRUE,2,TRUE,TRUE,FALSE,FALSE,no,cv,FALSE,FALSE,TRUE,ha,1.521523138,4,3
8,p100,16.511229,polymoraic,151,3,FALSE,3,FALSE,TRUE,FALSE,FALSE,no,vv,FALSE,TRUE,FALSE,au,2.791771608,4,3
9,p78,28.502348,polymoraic,126,1,TRUE,2,TRUE,TRUE,TRUE,FALSE,yes,Vc,TRUE,FALSE,FALSE,Ah,2.263049724,4,3
9,p78,28.502348,polymoraic,126,2,TRUE,2,TRUE,TRUE,FALSE,FALSE,no,cv,FALSE,FALSE,TRUE,he,2.222756616,4,3
9,p78,28.502348,polymoraic,126,3,FALSE,3,FALSE,TRUE,TRUE,FALSE,no,vv,FALSE,TRUE,FALSE,ea,2.482641039,4,3
9,p110,28.502348,polymoraic,185,1,TRUE,2,TRUE,TRUE,TRUE,FALSE,yes,Vc,TRUE,FALSE,FALSE,Ah,2.263049724,4,3
9,p110,28.502348,polymoraic,185,2,TRUE,2,TRUE,TRUE,FALSE,FALSE,no,cv,FALSE,FALSE,TRUE,he,2.222756616,4,3
9,p110,28.502348,polymoraic,185,3,FALSE,3,FALSE,TRUE,FALSE,FALSE,no,vv,FALSE,TRUE,FALSE,ea,2.482641039,4,3
9,p87,28.502348,polymoraic,188,1,TRUE,2,TRUE,TRUE,TRUE,FALSE,yes,Vc,TRUE,FALSE,FALSE,Ah,2.263049724,4,3
9,p87,28.502348,polymoraic,188,2,TRUE,2,TRUE,TRUE,FALSE,FALSE,no,cv,FALSE,FALSE,TRUE,he,2.222756616,4,3
9,p87,28.502348,polymoraic,188,3,FALSE,3,FALSE,TRUE,TRUE,FALSE,no,vv,FALSE,TRUE,FALSE,ea,2.482641039,4,3
9,p38,28.502348,polymoraic,133,1,TRUE,2,TRUE,TRUE,FALSE,FALSE,yes,Vc,TRUE,FALSE,FALSE,Ah,2.263049724,4,3
9,p38,28.502348,polymoraic,133,2,TRUE,2,TRUE,TRUE,FALSE,FALSE,no,cv,FALSE,FALSE,TRUE,he,2.222756616,4,3
9,p38,28.502348,polymoraic,133,3,FALSE,3,FALSE,TRUE,FALSE,FALSE,no,vv,FALSE,TRUE,FALSE,ea,2.482641039,4,3
