workerId,speakMaori,compMaori,maoriEducation,linguistics,age,gender,ethnicity,bornNz,island,outsideNz,regionMost,education,mediaMaori,socialMaori,children,maoriList,regionCurrentLive,duration,firstLang,firstLangCountry,otherLangs,hawaii,anyPolynesian,whichPolynesian,maoriRespect,maoriCompulsory,formerParticipants,maoriProf,ethnicity1,regionMost1,maoriExpo,regionCurrentLive1,maoriAttitude
nz_1,1,1,1,no,40-49,woman,European/P?keh?,Yes,south,No,Otago,certificate or diploma,1,1,No,2,Otago,long,English,NZ,None,No,No,None,5,5,No,2,Non M,south,2,south,10
nz_2,2,2,0,no,18-29,woman,European/P?keh?/Asian,Yes,north,No,Auckland,undergraduate,4,3,No,8,Auckland,long,English,NZ,spa,No,No,None,5,5,No,4,Non M,north,7,north,10
nz_3,1,1,0,no,40-49,woman,European/P?keh?,Yes,north,No,Waikato,certificate or diploma,2,2,No,8,Waikato,short,English,NZ,None,No,No,None,5,5,No,2,Non M,north,4,north,10
nz_4,1,1,0,no,50-59,woman,European/P?keh?,Yes,north,No,Manawatu,undergraduate,5,5,Yes,7,Manawatu,long,English,NZ,None,No,No,None,4,5,No,2,Non M,north,10,north,9
nz_5,1,1,0,no,40-49,woman,European/P?keh?,No,south,No,Canterbury,graduate,3,3,No,2,Canterbury,long,English,Other,None,No,No,None,5,5,No,2,Non M,south,6,south,10
nz_6,1,1,0,no,50-59,woman,European/P?keh?,Yes,north,No,Auckland,undergraduate,3,2,Yes,5,Waikato,short,English,NZ,None,No,No,None,5,4,No,2,Non M,north,5,north,9
nz_7,1,1,1,no,50-59,woman,European/P?keh?,Yes,north,No,Hawke's Bay,certificate or diploma,5,1,Yes,2,Manawatu,short,English,NZ,None,No,No,None,5,4,No,2,Non M,north,6,north,9
nz_8,1,1,4,no,30-39,woman,European/P?keh?/other_ethnicity,Yes,north,No,Wairarapa,undergraduate,3,5,Yes,7,Timaru - Oamaru,short,English,NZ,None,No,No,None,5,5,No,2,Non M,south,8,south,10
nz_9,1,1,0,no,40-49,woman,M?ori,Yes,north,No,Bay of Plenty,high school,3,3,No,1,Bay of Plenty,long,English,NZ,None,No,No,None,5,5,No,2,M,north,6,north,10
nz_10,1,1,0,no,18-29,NB,European/P?keh?,Yes,north,No,Wellington,high school,3,4,No,3,Otago,short,English,NZ,None,No,No,None,5,5,No,2,Non M,north,7,south,10
nz_11,1,2,2,no,18-29,woman,European/P?keh?,Yes,north,No,Bay of Plenty,undergraduate,4,4,Yes,9,Bay of Plenty,short,English,NZ,None,No,No,None,5,5,No,3,Non M,north,8,north,10
nz_12,1,2,0,no,30-39,woman,European/P?keh?,No,south,No,Canterbury,certificate or diploma,4,4,Yes,6,Canterbury,long,English,Other,None,No,No,None,5,4,No,3,Non M,south,8,south,9
nz_13,1,1,0,no,40-49,woman,European/P?keh?,Yes,south,No,Southland,undergraduate,4,2,Yes,5,Canterbury,short,English,NZ,None,No,No,None,5,5,No,2,Non M,south,6,south,10
nz_14,1,1,1,no,18-29,man,European/P?keh?,Yes,north,No,Taranaki,high school,2,3,No,5,Manawatu,short,English,NZ,None,No,No,None,4,3,No,2,Non M,north,5,north,7
nz_15,1,1,1,no,40-49,woman,European/P?keh?,Yes,south,No,Canterbury,certificate or diploma,4,3,Yes,5,Canterbury,long,English,NZ,None,No,No,None,5,4,No,2,Non M,south,7,south,9
nz_16,1,1,0,no,30-39,woman,European/P?keh?,Yes,south,No,Otago,certificate or diploma,3,2,Yes,2,Southland,short,English,NZ,None,No,No,None,5,3,No,2,Non M,south,5,south,8
nz_17,1,1,2,no,30-39,woman,European/P?keh?,Yes,north,No,Taranaki,high school,4,2,Yes,6,Taranaki,long,English,NZ,None,No,No,None,4,4,No,2,Non M,north,6,north,8
nz_18,1,1,0,no,60,man,European/P?keh?,Yes,north,No,Manawatu,graduate,5,4,No,4,Canterbury,long,English,NZ,None,No,No,None,5,5,No,2,Non M,north,9,south,10
nz_19,1,0,1,no,30-39,woman,European/P?keh?,Yes,south,No,Canterbury,high school,4,2,Yes,5,Nelson Bays,short,English,NZ,None,No,No,None,5,5,No,1,Non M,south,6,south,10
nz_20,1,2,1,no,18-29,woman,European/P?keh?,No,north,No,Auckland,graduate,3,5,No,8,Auckland,long,English,NZ,None,No,No,None,5,5,No,3,Non M,north,8,north,10
nz_21,1,1,1,no,30-39,woman,European/P?keh?,Yes,north,No,Waikato,certificate or diploma,2,2,Yes,6,Waikato,long,English,NZ,None,No,No,None,4,4,Yes,2,Non M,north,4,north,8
nz_22,1,2,3,no,40-49,man,European/P?keh?,Yes,south,No,Canterbury,certificate or diploma,5,2,Yes,6,Canterbury,long,English,NZ,None,No,No,None,4,3,No,3,Non M,south,7,south,7
nz_23,1,1,1,no,40-49,woman,European/P?keh?,Yes,north,No,Wellington,undergraduate,5,3,Yes,8,Wairarapa,short,English,NZ,None,No,No,None,4,5,No,2,Non M,north,8,south,9
